idLoc,nmPais,nmCidade
4,China,Desconhecida
3,Canada,Desconhecida
18,Switzerland,Desconhecida
9,India,Desconhecida
7,France,Desconhecida
8,Germany,Desconhecida
19,United Kingdom,Desconhecida
15,Singapore,Desconhecida
2,Austria,Desconhecida
17,Sweden,Desconhecida
16,South Korea,Desconhecida
14,Norway,Desconhecida
13,Netherlands,Desconhecida
20,United States,Desconhecida
11,Israel,Desconhecida
1,Australia,Desconhecida
10,Ireland,Desconhecida
5,Denmark,Desconhecida
6,Finland,Desconhecida
12,Japan,Desconhecida
